,Unnamed: 0,Company,CPU Detail,CPU Manufacturer,CPU Generation,CPU Arc,Core,Cache,RAM,HDD,SSD,Graphic-creator,Graphic RAM,Blore screen,Keyboard light,Battery houre,Battery Cells,Battery Capacity,Size per Inch/,Touch screen,amount
871,938,,Core i7,Intel,12.0,x86,14.0,24.0,16.0,,512.0,,,,,6.0,,,16.1,,51.5
872,940,,Core i9-Tiger Lake,Intel,11.0,x86,8.0,32.0,32.0,,1000.0,,6.0,,,,,57.0,15.6,,84.695
873,941,,,,,8550u  Core i7,,8.0,8.0,,1000.0,NVIDIA,2.0,,,5.0,,43.0,14.0,,28.5
874,942,Apple,M2,Apple,,M2,12.0,12.0,16.0,,512.0,Apple,0.0,,1.0,15.0,,99.6,16.2,,129.59
875,943,Portege X20W-D,Core i7,Intel,7.0,x86,,,8.0,,256.0,intel,,,,,,,12.0,,13.5
876,944,,Core i5,Intel,12.0,x86,10.0,12.0,24.0,,512.0,Intel,,,,,,38.0,15.6,,30.49
877,945,,Core i7,Intel,11.0,x86,,6.0,32.0,,1000.0,,4.0,,,19.0,,,,,144.2
878,946,,Core i7,Intel,10.0,x86,,8.0,16.0,1000.0,512.0,NVIDIA,2.0,1.0,,3.0,,37.0,15.6,,30.3
879,947,,Core i3,Intel,11.0,x86,2.0,6.0,8.0,,256.0,Intel,,,,,,38.0,15.6,,15.1
880,948,,Core i7,Intel,9.0,x86,,,16.0,,512.0,NVIDIA,4.0,1.0,,,,97.0,15.6,,32.9
881,949,,Core i7,Intel,11.0,x86,,12.0,20.0,,1000.0,NVIDIA,2.0,1.0,1.0,,3.0,42.0,15.6,,40.0
882,950,,Core i9,Intel,12.0,x86,,24.0,16.0,1000.0,,Nvidia,6.0,,1.0,,4.0,,,,89.7
883,951,,Core i5,Intel,5.0,x86,,3.0,8.0,,256.0,,,,,,4.0,54.0,,,9.6
884,952,Apple,M2,Apple,,M2,,,16.0,,512.0,,,,1.0,,,70.0,14.2,,102.9
885,953,,Core i5,Intel,11.0,x86,4.0,8.0,8.0,,1000.0,NVIDIA,2.0,1.0,,3.0,2.0,37.0,15.6,,25.91
886,954,,Core i9,Intel,,x86,,24.0,32.0,,1000.0,Nvidia,8.0,1.0,1.0,,,99.98,16.0,,83.0
887,956,,Core i7,Intel,11.0,x86,8.0,24.0,16.0,,1000.0,Nvidia,,,1.0,,,80.0,17.3,,84.1
888,958,,Core i3,Intel,11.0,x86,,6.0,4.0,,256.0,Intel,0.0,1.0,,,,45.0,15.6,,18.607
