,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
521,  ,          ,Core i7       ,     ,             , , 1165G7    ,                     ,  12 مگابایت                       ,     16 گیگابایت                                   ,              ,512 گیگابایت حافظه هیبریدی (SSD NVMe) 512 گیگابایت حافظه داخلی از نوع SSD NVMe PCIe 3.0               ,                               , Intel                  ,  Intel® Iris Xe Graphics   ,                                   ,دارد , ندارد    ,         , ,                , 15.6 اینچ          ,  ,  ,   ,            ,   ,35.790.000
522,  ,          ,Corei9       ,     ,             , , 12900H    ,14                     ,  24MB                       ,   16GB                                     ,              ,1TB SSD                ,      PCIe NVMe                         , NVIDIA                  ,  Geforce RTX 3060   ,            6GB                       ,دارد ,     ,    4Cell     , ,     57mAh           ," 15.6""          ",  ,  ,   ,            ,   ,74.500.000
523, 11400H ,          ,Core i5       ,     ,             , ,     ,6                     ,12MB                         ,8GB                                        , ✖             ,                 ,    256GB                           ,                   ,NVIDIA GTX1650    ,              4GB                     ,✔ ,     ,2 الی 4 ساعت         , ,4CELL LITIOMI                ,           ,  ,  ,   ,            ,   ,39.500.000
524,  ,          ,core 10       ,     ,             , , M1 Max    ,                     ,                         ,     32 گیگابایت                                   ,              ,1 ترابایت SSD                ,                               , Apple                  ,  GPU 32-Core   ,  بدون حافظه گرافیکی مجزا       بدون حافظه گرافیکی مجزا                          ,ندارد ,     ,         , ,  باتری با ظرفیت 70 وات ساعت              , 16.2 اینچ          ,  ,  ,   ,   دارد         ,   ,142.500.000
525,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,130.000.000
526,  ,          ,Celeron       ,     ,             , , N4020    ,2 هسته‌ای                     ,      4 مگابایت                   ,     4 گیگابایت                                   ,              ,256GB SSD + 1TB HDD حافظه هیبریدی                ,                               , INTEL                  ,  UHD Graphics   ,  Up To 2GB       Up To 2GB                          ,دارد ,     ,1 الی 3 ساعت         , ,        2Cell 35WHr        , 15.6 اینچ          ,  ,  ,   ,            ,   ,9.900.000
527,  ,          ,Ryzen       ,     ,  AMD           , , Ryzen 7-5800H    8 هسته,                     , 20MB cache                        ,  16GB                                      ,❌              ,                 , 1TB ✔️                             ,                   , NVIDIA GeForce RTX 3050    ,4GB                                   , ,     ,         , , 63WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,45.999.000
528, 1135G7 ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,8MB                         , 16GB                                       ,   1TB           ,                 , 256GB                              ,NVIDIA                   ,GeForce MX350    ,              2GB                     , ,     ,         , ,2Cell 38WHrs                ,           ,  ,  ,   ,            ,   ,26.800.000
529,  ,          ,       , intel    ,             , ,     ,         Core i7            ,                         ,                 16GB                       ,              ,                 ,                  1TB M2             ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,66.500.000
530, 1135G7 ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,8MB                         , 8GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce MX350    ,              2GB                     , ,White Backlit     ,         , ,2Cell 32WHrs                ,           ,  ,  ,   ,            ,   ,31.481.000
531,  ,اپل          ,       ,     ,             , , M2 Pro    ,12 هسته                     ,12 مگابایت                         ,    16GB                                    ,              ,                 ,     1TB                          ,                   ,  Apple (19-Core)   ,                                   ,خیر , دارد    ,  تا 18 ساعت       , ,                , 14 اینچ          ,  ,  ,   ,            ,   ,121.000.000
