,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
507,  ,ایسوس(Asus)          ,12650H Alder Lake      ,     ,             ,نسل 12 ,x86 Core i7    ,10 هسته حقیقی + 16 رشته مجازی                     ,24 مگابایت حافظه کش                         ,    16GB   4GB                                 ,     ندارد         ,                 ,     1TB                          ,                   ,GeForce  Geforce RTX3050 4GB GDDR6   ,                                   ,بله ,White Backlit دارد    ,  2 الی 4 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,59.222.000
508,  ,          ,Corei7       ,     ,             , , 12650H    ,10                     ,  24MB                       ,   16GB                                     ,              ,1TB SSD                ,      PCIe NVMe                         , NVIDIA                  ,  Geforce RTX 3060   ,            6GB                       ,دارد ,     ,    2 تا 4 ساعت     , ,     4Cell 60WHr           ," 15.6""          ",  ,  ,   ,            ,   ,51.181.000
509,V15  ,          ,Core i3       ,     ,   Intel          ,11 ,  ۱۱۱۵G۴   ,2                     ,   8 مگابایت                      ,   8 گیگابایت                                     ,  ندارد            ,512 گیگابایت SSD   SSD              ,   512 گیگابایت                            , NVIDIA                  ,  MX350 پردازنده گرافیکی مجزا  , 2 گیگابایت                                  , ,  ندارد   ,  1 تا 3 ساعت       , , 38 وات بر ساعت               ,  15.6 اینچ         ,  ,  ,   ,            ,   ,17.281.000
510,  ,          ,Core i7       ,     ,             , , 1165G7    ,   4 هسته                  ,     12 مگابایت                    ,   12 گیگابایت                                     ,              ,    ندارد             ,   512 گیگابایت                            ,    Nvidia GeForce               ,     ,                                   , ,     دارد,         , ,  با ظرفیت 37 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,            ,   ,34.500.000
511,  ,          ,Core i9       ,     ,             , , 9880H    ,                     ,  16 مگابایت                       ,   16 گیگابایت                                     ,              ,1 ترابایت SSD PCIe SSD               ,                               , AMD                  ,  AMD Radeon Pro 5500M   , 4GB                                  ,خیر , دارد    ,  حداکثر تا 10 ساعت       , ,  باتری لیتیوم پلیمر با ظرفیت 100 وات ساعت              , 16.0 اینچ          ,  ,  ,   ,            ,   ,64.000.000
512,  ,          ,Celeron       ,     ,             , , N4020    ,2                     ,  4MB                       ,   4GB                                     ,              ,1TB HDD                ,      --- بدون مقدار ---                         , INTEL                  ,  UHD 600   ,                                   ,دارد ,     ,    1 الی 3 ساعت     , ,     3Cell 41WHr           ," 15.6""          ",  ,  ,   ,            ,   ,11.250.000
513,  ,          ,Corei7       ,     ,             , , 11800H    ,8                     ,  24MB                       ,   16GB                                     ,              ,512GB SSD                ,      PCIe NVMe                         , NVIDIA                  ,  Geforce RTX 3060   ,            6GB                       ,دارد ,     ,    2 تا 4 ساعت     , ,     4Cell 90WHr           ," 15.6""          ",  ,  ,   ,            ,   ,45.900.000
514, RTX 3050TI ,          ,Ryzen 9       ,     ,NVIDIA             , ,     ,8                     ,          16MB               ,      4GB                                  ,              ,           16GB      ,    1TB                           ,                   ,     ,                                   , ,     ,1 الی 3 ساعت         , ,4Cell 56WHr                ,           ,  ,  ,   ,            ,   ,63.999.000
515,  ,          ,Corei3       ,     ,             , , 1115G4    ,2                     ,  6MB                       ,   8GB                                     ,              ,1TB HDD+256GB SSD Hybrid                ,      PCIe NVMe                         , NVIDIA                  ,  Geforce MX350   ,            2G                       ,دارد ,     ,    2Cell     , ,     36WHr           ," 15.6""          ",  ,  ,   ,            ,   ,20.600.000
516,  ,          ,       ,    CORE I9-12900H 24M CACHE ,             , ,     ,                     ,                         ,                              16GB DDR5          ,              ,                 ,                1TB SSD GEN4               ,                   ,     ,                            NVIDIA RTX 3070TI 8G       , ,     ,         , ,                ," 16.1""          ",  ,  ,   ,            ,   ,89.550.000
517,  ,          ,       ,  intel Core i9 11900H   ,             , ,     ,8 هسته حقیقی + 16 هسته مجازی                     ,   24MB                      ,32GB                                        ,  ندارد            ,                 ,   1TB NVMe                            ,      Nvidia             , NVIDIA Geforce RTX 3080 | 16GB GDDR6 256bit    ,            16 گیگابایت                       ,دارد ,     ,3 الی 5 ساعت         , ,                , 17.3اینچ|165Hz          ,  ,  ,   ,            ,   ,166.721.860
518,  ,          ,Core i5       ,     ,             , ,     ,                     ,                         ,          8 گيگابايت                              ,              ,                256 گیگابایت SSD,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,21.400.000
519,  ,          ,Core i7-1165G7       , Intel Core i7-1165G7    ,             , ,   اینتل  ,                     ,                12 مگابایت         ,16GB LPDDR4X   16 گیگابایت                                     ,              ,  از نوع SSD               , 512 گیگابایت                512GB SSD              ,           Intel Iris Xe Graphics  اینتل      ,     ,                                   , ,     ,         , ,       لیتیوم پلیمر با ظرفیت 56 وات ساعت         ,     13.9 اینچ      ,  ,  ,   ,            ,   ,60.000.000
520, 6900HX ,          ,Ryzen 9 Rembrandt H (Zen 3+)      ,     , AMD            ,نسل 6 ,x86     ,8                     ,20MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3070 Ti    ,              8GB                     , ,Backlit Chiclet Keyboard Per-Key RGB     ,         , ,4Cell 90WHr                ,           ,  ,  ,   ,            ,   ,87.195.000
